5.02	-1000	-1000	500	0	0	0	-1065.2	-1003.2	492.94	0.010231	-0.017181	0.12883	-0.10069
5.04	-1000	-1000	500.17	0	0	8.3328	-1065.1	-1003.6	494.36	0.013451	-0.0062532	0.13161	-0.019316
5.06	-1000	-1000	500.33	0	0	8.3344	-1064.8	-1002.9	495.32	0.01429	-0.0076444	0.12284	-0.027809
5.08	-1000	-1000	500.5	0	0	8.3328	-1063.9	-1001.9	497.29	0.0096643	-0.013795	0.10242	-0.031131
5.1	-1000	-1000	500.67	0	0	8.3328	-1063.8	-1001.2	499.69	0.013596	-0.014474	0.076225	-0.00035286
5.12	-1000	-1000	500.83	0	0	8.3344	-1063.5	-1000.7	503.52	0.014012	-0.012362	0.029049	0.037023
5.14	-1000	-1000	501	0	0	8.3328	-1062.7	-999.36	506.64	0.0096852	-0.019415	-0.018841	-0.02878
5.16	-1000	-1000	501.17	0	0	8.3328	-1062.2	-998.53	510.56	0.0097599	-0.020486	-0.086866	-0.017421
5.18	-1000	-1000	501.33	0	0	8.3344	-1062	-998.8	515.17	0.012257	-0.010168	-0.14026	0.029207
5.2	-1000	-1000	501.5	0	0	8.3328	-1061.6	-998.07	520.03	0.013121	-0.011692	-0.18963	0.0053349
5.22	-1000	-1000	501.67	0	0	8.3328	-1060.5	-997.52	525.05	0.0052914	-0.011551	-0.23644	-0.019074
5.24	-1000	-1000	501.83	0	0	8.3344	-1060.4	-997.21	530.4	0.01032	-0.0096489	-0.28353	0.011353
5.26	-1000	-1000	502	0	0	8.3328	-1060	-996.37	534.65	0.012385	-0.012757	-0.3	-0.011704
5.28	-1000	-1000	502.17	0	0	8.3328	-1059.8	-996.64	539.06	0.015408	-0.0060996	-0.3	0.034083
5.3	-1000	-1000	502.33	0	0	8.3344	-1058.9	-996.28	543.04	0.0079504	-0.0058528	-0.3	0.0023377
5.32	-1000	-1000	502.5	0	0	8.3328	-1058.7	-995.31	546	0.013405	-0.011518	-0.3	-0.021593
5.34	-1000	-1000	502.67	0	0	8.3328	-1057.7	-995.33	548.4	0.0049178	-0.0067867	-0.3	-0.024949
5.36	-1000	-1000	502.83	0	0	8.3344	-1056.8	-994.26	549.86	0.0019049	-0.01483	-0.3	-0.050401
5.38	-1000	-1000	503	0	0	8.3328	-1056.4	-993.5	551.29	0.00393	-0.017274	-0.3	-0.042264
5.4	-1000	-1000	503.17	0	0	8.3328	-1056.3	-993.05	552.09	0.011527	-0.016718	-0.3	-0.003418
5.42	-1000	-1000	503.33	0	0	8.3344	-1056.1	-992.15	552.07	0.013897	-0.020042	-0.3	-0.033189
5.44	-1000	-1000	503.5	0	0	8.3328	-1055.4	-991.57	551.63	0.011701	-0.020064	-0.3	-0.051127
5.46	-1000	-1000	503.67	0	0	8.3328	-1054.7	-991.68	550.95	0.0092081	-0.012303	-0.3	-0.020157
5.48	-1000	-1000	503.83	0	0	8.3344	-1054.7	-991.6	549.98	0.015237	-0.0095574	-0.3	0.0041333
5.5	-1000	-1000	504	0	0	8.3328	-1054.4	-991.14	548.39	0.015829	-0.010143	-0.2733	-0.029463
5.52	-1000	-1000	504.17	0	0	8.3328	-1056.1	-991.69	548.11	0.031741	-0.0037422	-0.2354	0.064733
5.54	-1000	-1000	504.33	0	0	8.3344	-1055.3	-991.72	548.16	0.026903	-0.0019864	-0.21548	0.067164
5.56	-1000	-1000	504.5	0	0	8.3328	-1053.5	-989.91	547.04	0.0089929	-0.017049	-0.18331	-0.082699
5.58	-1000	-1000	504.67	0	0	8.3328	-1052.4	-990.1	548.41	0.0022992	-0.010218	-0.18941	-0.051195
5.6	-1000	-1000	504.83	0	0	8.3344	-1051.4	-989.79	549.49	-0.0016907	-0.010522	-0.19138	-0.052436
5.62	-1000	-1000	505	0	0	8.3328	-1050.9	-988.76	550.88	-0.0013001	-0.01803	-0.19805	-0.058355
5.64	-1000	-1000	505.17	0	0	8.3328	-1050.5	-987.81	552.47	9.6188e-05	-0.021914	-0.20816	-0.054858
5.66	-1000	-1000	505.33	0	0	8.3344	-1049.8	-987.75	554.51	-0.00022565	-0.018811	-0.22741	-0.0007288
5.68	-1000	-1000	505.5	0	0	8.3328	-1049.3	-987.04	556.25	0.00024243	-0.021087	-0.24714	-0.0021765
5.7	-1000	-1000	505.67	0	0	8.3328	-1049.3	-985.79	557.35	0.0089975	-0.026755	-0.2457	-0.085959
5.72	-1000	-1000	505.83	0	0	8.3344	-1048.3	-986.32	560.09	0.0029682	-0.015579	-0.28151	0.0079066
5.74	-1000	-1000	506	0	0	8.3328	-1048	-984.8	561.87	0.007124	-0.026578	-0.29222	-0.079891
5.76	-1000	-1000	506.17	0	0	8.3328	-1047.5	-984.34	564.24	0.0073042	-0.025338	-0.3	-0.070523
5.78	-1000	-1000	506.33	0	0	8.3344	-1046.9	-984.07	566.82	0.006701	-0.020709	-0.3	-0.046933
5.8	-1000	-1000	506.5	0	0	8.3328	-1046	-985.21	570.15	0.0013781	-0.0089539	-0.3	0.035816
5.82	-1000	-1000	506.67	0	0	8.3328	-1045.7	-984.9	572.58	0.0062409	-0.0090248	-0.3	0.035196
5.84	-1000	-1000	506.83	0	0	8.3344	-1045.3	-983.66	574.62	0.0080512	-0.015921	-0.3	-0.020291
5.86	-1000	-1000	507	0	0	8.3328	-1044.7	-983.54	577.71	0.0063217	-0.013703	-0.3	0.030848
5.88	-1000	-1000	507.17	0	0	8.3328	-1043.9	-982.57	580.36	0.0018261	-0.02104	-0.3	0.0015464
