5.9	-1000	-1000	507.33	0	0	8.3344	-1045.6	-1007	583.64	-0.023455	-0.078172	-0.047547	0.011192														
5.92	-1000	-1000	507.5	0	0	8.3328	-1045	-1004.8	583.64	-0.024508	-0.078572	-0.047947	0.012374														
5.94	-1000	-1000	507.67	0	0	8.3328	-1044.3	-1003.6	583.65	-0.025504	-0.078972	-0.048347	0.020393														
5.96	-1000	-1000	507.83	0	0	8.3344	-1043.5	-1006.6	583.79	-0.0265	-0.079372	-0.048747	-0.090631														
5.98	-1000	-1000	508	0	0	8.3328	-1043.6	-1000.3	583.99	0.060496	-0.079772	-0.049147	0.01806														
6	-1000	-1000	508.17	0	0	8.3328	-1042.8	-999.6	583.65	0.061492	-0.080172	-0.049547	0.018033														
6.02	-1000	-1000	508.33	0	0	8.3344	-1042.2	-997.63	583.54	0.061142	-0.080572	-0.049947	0.014822														
6.04	-1000	-1000	508.5	0	0	8.3328	-1041.6	-996.41	583.93	-0.024538	-0.080972	-0.050347	0.013318														
6.06	-1000	-1000	508.67	0	0	8.3328	-1041	-995.04	583.52	-0.025534	-0.081372	-0.050747	0.033391														
6.08	-1000	-1000	508.83	0	0	8.3344	-1040.6	-994.32	583.09	-0.02653	-0.081772	-0.051147	0.0041278														
6.1	-1000	-1000	509	0	0	8.3328	-1039.8	-992.9	583	0.00020322	-0.082172	-0.051547	5.06E-05														
6.12	-1000	-1000	509.17	0	0	8.3328	-1039.2	-992.13	583.02	0.060097	-0.082572	-0.051947	-0.009203														
6.14	-1000	-1000	509.33	0	0	8.3344	-1038.1	-995.86	583.31	-0.026899	-0.082972	-0.052347	-0.091428														
6.16	-1000	-1000	509.5	0	0	8.3328	-1037.4	-995.52	583.5	-0.027895	-0.083372	-0.052747	-0.082019														
6.18	-1000	-1000	509.67	0	0	8.3328	-1037.3	-990.17	583.64	-0.028891	-0.083772	-0.053147	0.041652														
6.2	-1000	-1000	509.83	0	0	8.3344	-1036.6	-989.97	583.45	-0.029887	-0.084172	-0.053547	0.037356														
6.22	-1000	-1000	510	0	0	8.3328	-1036	-989.91	583.44	-0.030868	-0.084572	-0.053947	0.030449														
6.24	-1000	-1000	510.17	0	0	8.3328	-1035.1	-990.04	583.02	0.055521	-0.084972	-0.054347	0.014698														
6.26	-1000	-1000	510.33	0	0	8.3344	-1034.6	-990.13	582.52	-0.0076706	-0.085372	-0.054747	0.011701														
6.28	-1000	-1000	510.5	0	0	8.3328	-1033.7	-989.47	582.07	-0.031366	-0.085772	-0.055147	-0.0054072														
6.3	-1000	-1000	510.67	0	0	8.3328	-1032.7	-989.64	581.36	-0.032362	-0.086172	-0.055547	0.017912														
6.32	-1000	-1000	510.83	0	0	8.3328	-1032	-989.97	580.76	-0.033358	0.073899	-0.055947	-0.0047034														
6.34	-1000	-1000	511	0	0	8.3344	-1031.6	-990.7	579.64	-0.034354	0.074626	-0.056347	-0.01189														
6.36	-1000	-1000	511.17	0	0	8.3328	-1030.9	-991.26	578.86	0.051347	0.075026	-0.056747	-0.014439														
6.38	-1000	-1000	511.33	0	0	8.3328	-1029.6	-991.71	578.81	-0.034383	0.075426	-0.057147	-0.016244														
6.4	-1000	-1000	511.5	0	0	8.3344	-1028.8	-992.14	578.36	-0.035379	0.075826	-0.057547	-0.011353														
6.42	-1000	-1000	511.67	0	0	8.3328	-1028.4	-997.33	578.2	-0.036375	0.076226	-0.057947	-0.11619														
6.44	-1000	-1000	511.83	0	0	8.3328	-1027	-997.85	578.57	-0.037371	0.076626	-0.058347	-0.095039														
6.46	-1000	-1000	512	0	0	8.3344	-1027.2	-995.29	579.14	-0.038367	0.077026	-0.048457	0.021496														
6.48	-1000	-1000	512.17	0	0	8.3344	-1026.5	-995.5	579.74	0.046675	0.077426	-0.046879	0.0081981														
6.5	-1000	-1000	512.33	0	0	8.3313	-1025.9	-996.25	580.22	0.049581	0.077826	-0.057532	0.0035652														
6.52	-1000	-1000	512.5	0	0	8.3344	-1025.3	-997.5	580.75	-0.037041	0.078226	-0.0597	0.0015967														
6.54	-1000	-1000	512.67	0	0	8.3344	-1024	-1002.5	581.19	-0.038403	0.078626	-0.060107	-0.12223														
6.56	-1000	-1000	512.83	0	0	8.3313	-1023.5	-1003	582.04	-0.039399	0.079026	-0.060507	-0.09292														
6.58	-1000	-1000	513	0	0	8.3344	-1023.6	-999.8	582.56	-0.040395	0.079426	-0.060907	0.026305														
6.6	-1000	-1000	513.17	0	0	8.3344	-1023	-1001	583.19	0.046579	0.079826	-0.061307	0.025678														
6.62	-1000	-1000	513.33	0	0	8.3313	-1022.8	-1001.4	584.06	0.047596	0.080226	-0.061707	0.03308														
6.64	-1000	-1000	513.5	0	0	8.3344	-1021.9	-1002.5	585.2	0.04859	0.080626	-0.062107	0.037061														
6.66	-1000	-1000	513.67	0	0	8.3344	-1021.6	-1007.1	586.23	-0.038404	0.081026	-0.062507	-0.081349														
6.68	-1000	-1000	513.83	0	0	8.3313	-1020.8	-1008	587.96	-0.0394	0.081426	-0.062907	-0.052075														
6.7	-1000	-1000	514	0	0	8.3344	-1020.7	-1004	589.25	-0.040396	0.081826	-0.063307	0.0586														
6.72	-1000	-1000	514.17	0	0	8.3344	-1019.9	-1009.4	590.42	-0.041392	0.082226	-0.063707	-0.029233														
6.74	-1000	-1000	514.33	0	0	8.3313	-1019.7	-1005.4	591.93	0.045604	0.082626	-0.064107	0.06656														
6.76	-1000	-1000	514.5	0	0	8.3344	-1019.3	-1005.5	592.74	0.0466	0.083026	-0.064507	0.062916														
6.78	-1000	-1000	514.67	0	0	8.3344	-1018.8	-1006.5	592.88	-0.040396	0.083426	-0.064907	0.059161														
6.8	-1000	-1000	514.83	0	0	8.3313	-1018.4	-1005.9	595.36	-0.041392	0.083567	-0.065307	0.029779														
6.82	-1000	-1000	515	0	0	8.3344	-1017.8	-1006.6	596.3	-0.042388	0.084218	-0.065707	0.035599														
6.84	-1000	-1000	515.17	0	0	8.3344	-1017.6	-1006.7	596.58	-0.043384	0.0048671	-0.066107	0.012686														
6.86	-1000	-1000	515.33	0	0	8.3313	-1017.1	-1006	597.97	0.043606	-0.076172	-0.066507	-0.010555														
6.88	-1000	-1000	515.5	0	0	8.3344	-1016.7	-1006.4	598.94	0.044608	-0.076572	-0.066907	-0.0070959														
6.9	-1000	-1000	515.67	0	0	8.3313	-1016.3	-1005.5	600.48	-0.042388	-0.076972	-0.067307	-0.0067476														
6.92	-1000	-1000	515.83	0	0	8.3344	-1016.1	-1005.6	601.42	-0.043384	-0.077372	-0.067707	-0.022247														
6.94	-1000	-1000	516	0	0	8.3344	-1015.8	-1004.5	602.36	-0.04438	-0.077772	-0.068107	-0.016372														
6.96	-1000	-1000	516.17	0	0	8.3313	-1015.8	-1004	602.6	-0.045376	-0.078172	-0.068507	-0.0016059														
6.98	-1000	-1000	516.33	0	0	8.3344	-1015	-1006.7	602.28	-0.043206	-0.078572	-0.068907	-0.12229														
7	-1000	-1000	516.5	0	0	8.3344	-1015.5	-1001.9	602.95	0.040696	-0.078972	-0.069307	0.011111														
7.02	-1000	-1000	516.67	0	0	8.3313	-1015.5	-1001.3	603.61	0.041692	-0.079372	-0.069707	0.0082857														
7.04	-1000	-1000	516.83	0	0	8.3344	-1015.2	-999.92	603.84	-0.045208	-0.079772	-0.070107	0.020626														
7.06	-1000	-1000	517	0	0	8.3344	-1015.7	-999.28	604.1	-0.046255	-0.080172	-0.070507	0.007881														
7.08	-1000	-1000	517.17	0	0	8.3313	-1015.8	-997.71	603.99	0.040699	-0.080572	-0.070907	0.0051808														
7.1	-1000	-1000	517.33	0	0	8.3344	-1015.9	-996.87	604.27	0.041695	-0.080972	-0.071307	0.0145														
7.12	-1000	-1000	517.5	0	0	8.3344	-1016.3	-996.01	605.39	0.042691	-0.081372	-0.071707	0.017844														
7.14	-1000	-1000	517.67	0	0	8.3344	-1016.4	-994.98	604.72	0.043687	-0.081772	-0.072107	0.01834														
7.16	-1000	-1000	517.83	0	0	8.3313	-1016.6	-993.83	604.72	0.044683	-0.082172	-0.072507	0.040409														
7.18	-1000	-1000	518	0	0	8.3344	-1017	-992.77	604.86	0.045679	-0.082572	-0.072907	0.033948														
7.2	-1000	-1000	518.17	0	0	8.3313	-1017.5	-992.16	605.47	0.046675	-0.082972	-0.073307	0.034061														
7.22	-1000	-1000	518.33	0	0	8.3344	-1017.5	-991.79	605.71	0.047671	-0.083372	-0.073707	0.020989														
7.24	-1000	-1000	518.5	0	0	8.3344	-1017.7	-991.18	606.73	0.048667	-0.083772	-0.074107	0.019736														
7.26	-1000	-1000	518.67	0	0	8.3313	-1017.9	-990.51	606.85	0.049663	-0.084172	-0.074507	0.018506														
7.28	-1000	-1000	518.83	0	0	8.3344	-1018.4	-989.97	606.85	0.050659	-0.084572	-0.074907	0.0094343														
